"CNPJ Fundo","Ativo"
"12796232000187","CA Indosuez Agilité FIRF CP"
"22963439000152","Trend Ouro FIM"
"13106983000197","Opportunity Selection FIC FIA"
"26179685000179","Garde DArtagnan Advisory FIC FIM"
"28581109000189","Vinland Macro Advisory FIC FIM"
"26673556000132","Alaska Black Institucional FIA"
"11108013000103","BNP Paribas Small Caps FIA"
"12004203000135","Equitas Selection FIC FIA"
"13106983000197","Opportunity Selection FIC FIA"
"12796232000187","CA Indosuez Agilité FIRF CP"
"18719154000101","Porto Seguro FI Referenciado DI Crédito Privado"
"26978199000110","Kapitalo Kappa Advisory FIC FIM"
"05448587000110","Opportunity Total FIC de FIM"
"31440882000130","Giant Darius FIC FIM"
"12287682000144","Vinci Gas Seleção Dividendos FIA"
"24078037000109","Adam Macro Advisory FIC FIM"
"23339936000147","Verde AM Icatu Prev FIC FIM"
"11052478000181","Giant Zarathustra FIC FIM"
"33401080000146","Oceana Long Biased Advisory FIC FIM"
"16575255000112","XP Dividendos FIA"
"31874833000105","Trend Bolsa Americana Dolar FIM"
"17087932000116","Bahia AM Maraú FIC de FIM"
"32319627000104","ARX Elbrus Advisory Debêntures Incentivadas FIC FIM CP"
"05448587000110","Opportunity Total FIC de FIM"
"26673556000132","Alaska Black Institucional FIA"
"04228716000100","Icatu Vanguarda FIC FIRF Infla"
"32225663000109","ARX Hedge Debêntures Incentivadas FIC FIRF CP"
"30921203000181","ARX Denali FIC FIRF CP"
"26673556000132","Alaska Black Institucional FIA"
"16575255000112","XP Dividendos FIA"
"34370777000160","AZ Quest Altro Advisory FIC FIM CP"
"31120037000187","Capitânia Reit 90 CP FIC FIM "
"31120037000187","Capitânia Reit 90 CP FIC FIM "
"31440882000130","Giant Darius FIC FIM"
"31120420000135","Journey Capital Endurance Debêntures Incentivadas FIRF CP"
"31120037000187","Capitânia Reit 90 CP FIC FIM "
"34430477000129","Brasil Capital 30 Advisory FIC FIA"
"30994931000113","Verde AM Scena Advisory XP Seg"
"26559284000144","Trend Pós-Fixado FIRF Simples"
"31961612000174","Schroder High Grade Advisory FIRF CP"
"03537456000183","Icatu Vanguarda Multiestratégi"
"03168062000103","ARX Income FIA"
"12004203000135","Equitas Selection FIC FIA"
"14171644000157","BTG Pactual Crédito Corporativo I FIC FI RF Crédito Privado"
"14146726000141","Novus Macro FIC FIM"
"30994931000113","Verde AM Scena Advisory XP Seg"
"22415801000150","Exodus 90 FIC FIM Credito Privado"
"21624757000126","Kinea Chronos FIM"
"11052478000181","Giant Zarathustra FIC FIM"
"33150386000177","Journey Capital Endurance Plus Advisory FIC FI-Infra RF LP"
"12004203000135","Equitas Selection FIC FIA"
"23729512000199","PIMCO Income FIC FIM IE"
"13106979000129","Canvas Enduro III FIC FIM"
"26673556000132","Alaska Black Institucional FIA"
"32225663000109","ARX Hedge Debêntures Incentivadas FIC FIRF CP"
"26673556000132","Alaska Black Institucional FIA"
"03168062000103","ARX Income FIA"
"32319658000157","Capitânia Prev Advisory XP Seg"
"18719154000101","Porto Seguro FI Referenciado DI Crédito Privado"
"12987743000186","Alaska Black FIC FIA  - BDR Nível I"
"24582422000180","Selection Long Biased FIC FIM"
"27771966000189","Mauá Macro Advisory FIC FIM"
"23922063000109","XP Macro FIM"
"12430199000177","Navi Long Short FIC FIM"
"32225663000109","ARX Hedge Debêntures Incentivadas FIC FIRF CP"
"12004203000135","Equitas Selection FIC FIA"
"18719154000101","Porto Seguro FI Referenciado DI Crédito Privado"
"11403956000150","Occam Equity Hedge FIC FIM"
"12287682000144","Vinci Gas Seleção Dividendos FIA"
"32319627000104","ARX Elbrus Advisory Debêntures Incentivadas FIC FIM CP"
"11701985000107","Valora Guardian FIC FIM Crédito Privado"
"21624757000126","Kinea Chronos FIM"
"13396703000122","Vinci Valorem FI Multimercado"
"11108013000103","BNP Paribas Small Caps FIA"
"13106983000197","Opportunity Selection FIC FIA"
"15799713000134","Ibiuna Hedge STH FIC FIM"
"26673556000132","Alaska Black Institucional FIA"
"32319627000104","ARX Elbrus Advisory Debêntures Incentivadas FIC FIM CP"
"23729512000199","PIMCO Income FIC FIM IE"
"32319627000104","ARX Elbrus Advisory Debêntures Incentivadas FIC FIM CP"
"11108013000103","BNP Paribas Small Caps FIA"
"14812722000155","AZ Quest Total Return FIC FIM"
"17087932000116","Bahia AM Maraú FIC de FIM"
"14812722000155","AZ Quest Total Return FIC FIM"
"30869348000180","Opportunity Icatu Prev FIM"
"05488919000190","Claritas Hedge FIC FIM Longo Prazo"
"24582449000173","Selection Multimercado FIC FIM"
"12004203000135","Equitas Selection FIC FIA"
"11108013000103","BNP Paribas Small Caps FIA"
"21818801000139","Icatu Seg Franklin Templeton P"
"26803233000116","XP Debentures Incentivadas Hedge CP FIC FIM LP"
"12987743000186","Alaska Black FIC FIA  - BDR Nível I"
"10705335000169","Claritas Institucional FIM"
"30877528000104","DLM Debêntures Incentivadas FIRF CP"
"32225663000109","ARX Hedge Debêntures Incentivadas FIC FIRF CP"
"33150386000177","Journey Capital Endurance Plus Advisory FIC FI-Infra RF LP"
"29732926000153","Ibiuna Long Short Advisory FIC FIM"
"31440882000130","Giant Darius FIC FIM"
"30877528000104","DLM Debêntures Incentivadas FIRF CP"
"10705335000169","Claritas Institucional FIM"
"27227796000176","XP Crédito Estruturado 360 FIC FIM CP"
"02603461000184","Porto Seguro Clássico FIC Renda Fixa LP"
"31120420000135","Journey Capital Endurance Debêntures Incentivadas FIRF CP"
"33160049000160","Fronteira Eficiente IS FIC FIM"
"24582449000173","Selection Multimercado FIC FIM"
"35354967000156","Moat Capital Advisory FIC FIA"
"11403956000150","Occam Equity Hedge FIC FIM"
"31120037000187","Capitânia Reit 90 CP FIC FIM "
"12004203000135","Equitas Selection FIC FIA"
"26559284000144","Trend Pós-Fixado FIRF Simples"
"18471807000178","Opportunity Long Biased FIC FIM"
"12004203000135","Equitas Selection FIC FIA"
"32319627000104","ARX Elbrus Advisory Debêntures Incentivadas FIC FIM CP"
"21624757000126","Kinea Chronos FIM"
"21624757000126","Kinea Chronos FIM"
"26559284000144","Trend Pós-Fixado FIRF Simples"
"32225663000109","ARX Hedge Debêntures Incentivadas FIC FIRF CP"
"26559284000144","Trend Pós-Fixado FIRF Simples"
"13106983000197","Opportunity Selection FIC FIA"
"11052478000181","Giant Zarathustra FIC FIM"
"34430477000129","Brasil Capital 30 Advisory FIC FIA"
"34430477000129","Brasil Capital 30 Advisory FIC FIA"
"26673556000132","Alaska Black Institucional FIA"
"14188162000100","Sparta Top FIC FI RF Crédito Privado Longo Prazo"
"24078037000109","Adam Macro Advisory FIC FIM"
"27944406000189","Claritas Long Short Advisory FIC FIM"
"26673556000132","Alaska Black Institucional FIA"
"28747685000153","Kapitalo Tarkus FIC FIA"
"28747685000153","Kapitalo Tarkus FIC FIA"
"29206196000157","Quasar Advantage FIRF CP LP"
"35625840000124","Trend XP Inc FIC FIA IE"
"26673556000132","Alaska Black Institucional FIA"
"05104498000156","BNP Paribas Inflação FI RF"
"31120420000135","Journey Capital Endurance Debêntures Incentivadas FIRF CP"
"11046179000134","XP Investor FI Renda Fixa Crédito Privado LP"
"31120037000187","Capitânia Reit 90 CP FIC FIM "
"11458144000102","SulAmérica Equities FIA"
"26759909000111","Sparta Debentures Incentivadas FIRF CP"
"32225663000109","ARX Hedge Debêntures Incentivadas FIC FIRF CP"
"12987743000186","Alaska Black FIC FIA  - BDR Nível I"
"18719154000101","Porto Seguro FI Referenciado DI Crédito Privado"
"11108013000103","BNP Paribas Small Caps FIA"
"29762315000158","Kinea Atlas II FIM"
"09441308000147","Kadima II FIC de FIM"
"17087932000116","Bahia AM Maraú FIC de FIM"
"17087932000116","Bahia AM Maraú FIC de FIM"
"14171644000157","BTG Pactual Crédito Corporativo I FIC FI RF Crédito Privado"
"00840011000180","BTG Pactual Yield DI FI Referenciado Credito Privado"
"31961612000174","Schroder High Grade Advisory FIRF CP"
"05448587000110","Opportunity Total FIC de FIM"
"12796232000187","CA Indosuez Agilité FIRF CP"
"30921203000181","ARX Denali FIC FIRF CP"
"30921203000181","ARX Denali FIC FIRF CP"
"11447124000136","CA Indosuez Vitesse FIRF Crédito Privado"
"18772290000157","Solana Long Short FIC de FIM"
"12987743000186","Alaska Black FIC FIA  - BDR Nível I"
"17087932000116","Bahia AM Maraú FIC de FIM"
"12987743000186","Alaska Black FIC FIA  - BDR Nível I"
"31120420000135","Journey Capital Endurance Debêntures Incentivadas FIRF CP"
"12987743000186","Alaska Black FIC FIA  - BDR Nível I"
"29732926000153","Ibiuna Long Short Advisory FIC FIM"
"12287682000144","Vinci Gas Seleção Dividendos FIA"
"17087932000116","Bahia AM Maraú FIC de FIM"
"27826059000190","DLM Premium 30 FIRF CP LP"
"15799713000134","Ibiuna Hedge STH FIC FIM"
"33160049000160","Fronteira Eficiente IS FIC FIM"
"33150386000177","Journey Capital Endurance Plus Advisory FIC FI-Infra RF LP"
"12004203000135","Equitas Selection FIC FIA"
"02603461000184","Porto Seguro Clássico FIC Renda Fixa LP"
"11052478000181","Giant Zarathustra FIC FIM"
"32319627000104","ARX Elbrus Advisory Debêntures Incentivadas FIC FIM CP"
"15799713000134","Ibiuna Hedge STH FIC FIM"
"12004203000135","Equitas Selection FIC FIA"
"24048538000134","Verde AM Scena Advisory FIC FIM"
"22759978000174","JGP SulAmérica FIM CP"
"34309551000153","Dahlia Total Return Advisory FIC FIM"
"26673556000132","Alaska Black Institucional FIA"
"11052478000181","Giant Zarathustra FIC FIM"
"10705335000169","Claritas Institucional FIM"
"14188162000100","Sparta Top FIC FI RF Crédito Privado Longo Prazo"
"21329166000126","Vista FIA"
"31120037000187","Capitânia Reit 90 CP FIC FIM "
"02603461000184","Porto Seguro Clássico FIC Renda Fixa LP"
"21624757000126","Kinea Chronos FIM"
"12004203000135","Equitas Selection FIC FIA"
"17087932000116","Bahia AM Maraú FIC de FIM"
"12796193000118","CA Indosuez Icatu Prev FIRF Re"
"29813769000100","Absolute Alpha Global Advisory FIC FIM"
"15799713000134","Ibiuna Hedge STH FIC FIM"
"22003930000131","XP Crédito Estruturado 180 FIC FIM CP"
"31132386000119","Trend Dólar FI Cambial"
